#OTU	Sam_1	Sam_2	Sam_3	Sam_4	Sam_5	Sam_6	Sam_7	Sam_8	Sam_9	Sam_10	Consensus lineage
0	15486	2738	1199	5822	339	14824	4998	11110	6868	9792	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
1	3	7	0	3	1	0	4	688	1	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
2	6859	212	374	4	3	4	2768	17	2032	1523	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum
3	950	237	201	469	726	1453	305	932	4113	1799	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomidium
4	14547	5	3	282	2	16	19	1	2	145	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala
5	70	1	19	1	1	2	7048	1	0	511	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Sporotrichum
6	3	0	0	1	0	0	2	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
7	6416	1518	185	46	130	1016	2043	1357	9844	2108	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium
9	654	2011	32009	11374	0	955	429	584	482	435	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Haematonectria
10	0	0	2	0	1	1	101425	0	1	7	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Calycellina
